id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM (simple),UOM,UOM_wd,Lookup,GHG,emission_target_formula,emission_target,emission_target_wd,GHG_wd,valid_from,valid_to,region,region_wd,Conversion Factor 2021,GWP,Value 2021,GWP_id
30,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,3.44,28.0,0.12285714285714286,ch4_co2e_2014
31,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,2533.69,1.0,2533.69,co2_co2e_2014
32,Scope1,Fuels,Gaseous fuels,CNG,,Tonnes,Gaseous_fuels_CNG,tonnes,tonnes,https://www.wikidata.org/wiki/Q191118,CNG tonnes,kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.34,265.0,0.005056603773584906,n2o_co2e_2014
33,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18438,,0.18438,
34,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00025,28.0,8.92857142857143e-06,ch4_co2e_2014
35,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.18403,1.0,0.18403,co2_co2e_2014
36,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Gross CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.0001,265.0,3.773584905660378e-07,n2o_co2e_2014
37,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Net CV),kg,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20431,,0.20431,
38,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Net CV),kg,CH4,Methane,https://www.wikidata.org/wiki/Q37129,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00028,28.0,9.999999999999999e-06,ch4_co2e_2014
39,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Net CV),kg,CO2,Carbon dioxide,https://www.wikidata.org/wiki/Q1997,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.20393,1.0,0.20393,co2_co2e_2014
40,Scope1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,Gaseous_fuels_LNG,kWh,kWh,https://www.wikidata.org/wiki/Q182098,LNG kWh (Net CV),kg,N2O,Nitrous Oxide,https://www.wikidata.org/wiki/Q905750,https://www.wikidata.org/wiki/Q11570,2021-01-01T00:00:00,2021-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,0.00011,265.0,4.1509433962264154e-07,n2o_co2e_2014
