id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,ghg_wd,emission_target,emission_target_formula,emission_target_wd,GHG Conversion Factor 2016,valid_from,valid_to,region,region_wd
36,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.0002,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
37,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.23041,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
38,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.0002,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
39,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.22999,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
40,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Net CV),kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00022,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
41,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,1.50502,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
42,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.0013,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
43,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,1.5023,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
44,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,http://www.wikidata.org/entity/Q11582,litres,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,0.00142,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
45,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,2941.78024,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
46,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,2.53656,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
47,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,2936.47614,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
48,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Tonnes,tonne,http://www.wikidata.org/entity/Q191118,tonnes,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,N2O,http://www.wikidata.org/entity/Q905750,2.76754,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
49,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,CO2e,http://www.wikidata.org/entity/Q1933140,0.184,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
50,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,methane,CH4,http://www.wikidata.org/entity/Q37129,0.00025,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
51,Scope1,Fuels,Gaseous fuels,Natural gas,,Gaseous_fuels_Natural_gas,Energy - Gross CV,kilowatt hour,http://www.wikidata.org/entity/Q182098,kWh (Gross CV),kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,CO2,http://www.wikidata.org/entity/Q1997,0.18365,2016-01-01T00:00:00,2016-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
