id,id_original,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM,uom_wd,GHG,GHG_wd,emission_target,emission_target_wd,emission_target_formula,GHG/Unit,GHG Conversion Factor 2023,valid_from,valid_to,region,region_wd
34,1_100_1002_15_2,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,kg CO2e of CO2,2576.94,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
35,1_100_1002_15_3,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,kg CO2e of CH4,3.8528,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
36,1_100_1002_15_4,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,tonne,http://www.wikidata.org/entity/Q191118,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,kg CO2e of N2O,1.19161,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
37,1_100_1002_8_1,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,kg CO2e,1.16833,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
38,1_100_1002_8_2,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,kg CO2e of CO2,1.16604,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
39,1_100_1002_8_3,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,kg CO2e of CH4,0.00175,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
40,1_100_1002_8_4,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,,litre,http://www.wikidata.org/entity/Q11582,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,kg CO2e of N2O,0.00054,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
41,1_100_1002_7_1,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Net CV,kilowatt hour ,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide equivalent,http://www.wikidata.org/entity/Q1933140,CO2e,kg CO2e,0.2042,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
42,1_100_1002_7_2,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Net CV,kilowatt hour ,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,carbon dioxide,http://www.wikidata.org/entity/Q1997,CO2,kg CO2e of CO2,0.20379,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
43,1_100_1002_7_3,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Net CV,kilowatt hour ,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,methane,http://www.wikidata.org/entity/Q37129,CH4,kg CO2e of CH4,0.00031,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
44,1_100_1002_7_4,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Net CV,kilowatt hour ,http://www.wikidata.org/entity/Q182098,kilogram,http://www.wikidata.org/entity/Q11570,nitrous oxide,http://www.wikidata.org/entity/Q905750,N2O,kg CO2e of N2O,0.0001,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,http://www.wikidata.org/entity/Q145
