id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,emission_source,UOM,UOM_wd,GHG/Unit,emission_target_formula,emission_target,emission_target_wd,GHG,GHG_wd,valid_from,valid_to,region,region_wd,GWP,Value 2023,GWP_id,Conversion Factor 2023
1_100_1002_15_1,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,,2581.984410738255,,2581.984410738255
1_100_1002_15_2,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.0,2576.94,co2_co2e_2022,2576.94
1_100_1002_15_3,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,27.9,0.1380931899641577,ch4_co2e_2022,3.8528
1_100_1002_15_4,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,tonnes,https://www.wikidata.org/wiki/Q191118,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,273.0,0.0043648744991026875,n2o_co2e_2022,1.1916107382550336
1_100_1002_8_1,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,,1.1683296496644295,,1.1683296496644295
1_100_1002_8_2,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.0,1.16604,co2_co2e_2022,1.16604
1_100_1002_8_3,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of CH4,CO2e of CH4,Carbon dioxide equivalent of Methane,https://w3id.org/ecfkg/i/emission_target/co2e_of_ch4,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,27.9,6.26236559139785e-05,ch4_co2e_2022,0.0017472
1_100_1002_8_4,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,litres,https://www.wikidata.org/wiki/Q11582,kg CO2e of N2O,CO2e of N2O,Carbon dioxide equivalent of Nitrous Oxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_n2o,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,273.0,1.9869951078003664e-06,n2o_co2e_2022,0.0005424496644295
1_100_1002_7_1,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg CO2e,CO2e,Carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,,0.2042014187919463,,0.2042014187919463
1_100_1002_7_2,Scope1,Fuels,Gaseous fuels,LNG,,,Gaseous_fuels_LNG,kWh,https://www.wikidata.org/wiki/Q182098,kg CO2e of CO2,CO2e of CO2,Carbon dioxide equivalent of Carbon dioxide,https://w3id.org/ecfkg/i/emission_target/co2e_of_co2,kg,https://www.wikidata.org/wiki/Q11570,2023-01-01T00:00:00,2023-12-31T23:59:59,United Kingdom,https://www.wikidata.org/wiki/Q145,1.0,0.20379,co2_co2e_2022,0.20379
