id,Scope,Level 1,Level 2,Level 3,Level 4,emission_source,Column Text,UOM simple,uom_wd,UOM,GHG,GHG_wd,emission_target,emission_target_wd,Lookup,GHG Conversion Factor 2021,valid_from,valid_to,region_wd
34,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LNG kWh (Gross CV),0.00025,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
35,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LNG kWh (Gross CV),0.18403,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
36,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LNG kWh (Gross CV),0.0001,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
37,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LNG kWh (Net CV),0.20431,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
38,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LNG kWh (Net CV),0.00028,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
39,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LNG kWh (Net CV),0.20393,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
40,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LNG kWh (Net CV),0.00011,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
41,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LNG litres,1.15623,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
42,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LNG litres,0.00156,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
43,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LNG litres,1.15407,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
44,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LNG litres,0.00061,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
45,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LNG tonnes,2555.28,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
46,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LNG tonnes,3.44,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
47,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LNG tonnes,2550.49,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
48,Scope1,Fuels,Gaseous fuels,LNG,,Gaseous_fuels_LNG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LNG tonnes,1.34,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
49,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LPG kWh (Gross CV),0.21449,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
50,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LPG kWh (Gross CV),0.00017,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
51,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LPG kWh (Gross CV),0.21419,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
52,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Gross CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Gross CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LPG kWh (Gross CV),0.00013,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
53,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LPG kWh (Net CV),0.23031,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
54,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LPG kWh (Net CV),0.00018,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
55,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LPG kWh (Net CV),0.22999,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
56,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Energy - Net CV,kilowatt hour,https://www.wikidata.org/wiki/Q182098,kWh (Net CV),kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LPG kWh (Net CV),0.00014,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
57,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LPG litres,1.55709,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
58,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LPG litres,0.00121,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
59,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide,https://www.wikidata.org/wiki/Q1997,LPG litres,1.55491,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
60,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Volume,litre,https://www.wikidata.org/wiki/Q11582,litres,kilogram,https://www.wikidata.org/wiki/Q11570,nitrous oxide,https://www.wikidata.org/wiki/Q905750,LPG litres,0.00097,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
61,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,carbon dioxide equivalent,https://www.wikidata.org/wiki/Q1933140,LPG tonnes,2939.29,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
62,Scope1,Fuels,Gaseous fuels,LPG,,Gaseous_fuels_LPG,Tonnes,tonne,https://www.wikidata.org/wiki/Q191118,tonnes,kilogram,https://www.wikidata.org/wiki/Q11570,methane,https://www.wikidata.org/wiki/Q37129,LPG tonnes,2.28,2021-01-01T00:00:00,2021-12-31T23:59:59,https://www.wikidata.org/wiki/Q145
