provider,providerName,offsetRatio,region,regionName,country_wikidata,country,state,city,impact_modified,impact,valid_from,valid_to,source_curated,source,PUE,PUE source,comment
azure,Azure,100,southeastasia,Southeast Asia,http://www.wikidata.org/entity/Q334,Singapore,,Singapore,0.419,419,2017-01-01T00:00:00,2017-12-31T23:59:59,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf,,,
azure,Azure,100,centralus,Central US,http://www.wikidata.org/entity/Q30,USA,Iowa,Des Moines,0.7366,736.6,,,,eGRID (seem to be in the SRMW grid),,,
azure,Azure,100,eastus,East US,http://www.wikidata.org/entity/Q30,USA,Virginia,Blue Ridge,0.3678,367.8,,,,eGRID,,,
azure,Azure,100,eastus2,East US 2,http://www.wikidata.org/entity/Q30,USA,Virginia,Boydton,0.3678,367.8,,,,eGRID,,,
azure,Azure,100,westus,West US,http://www.wikidata.org/entity/Q30,USA,California,San Francisco,0.2406,240.6,,,,eGRID,,,
azure,Azure,100,northcentralus,North Central US,http://www.wikidata.org/entity/Q30,USA,Illinois,Chicago,0.5682,568.2,,,,eGRID,,,
azure,Azure,100,southcentralus,South Central US,http://www.wikidata.org/entity/Q30,USA,Texas,San Antonio,0.4604,460.4,,,,eGRID,,,
azure,Azure,100,northeurope,North Europe,http://www.wikidata.org/entity/Q27,Ireland,Leinster,Dublin,0.617,617,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
azure,Azure,100,westeurope,West Europe,http://www.wikidata.org/entity/Q55,Netherlands,North Holland,Amsterdam,0.569,569,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
azure,Azure,100,japanwest,Japan West,http://www.wikidata.org/entity/Q17,Japan,Osaka,Osaka-shi,0.516,516,,,,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,,,
azure,Azure,100,japaneast,Japan East,http://www.wikidata.org/entity/Q17,Japan,Tokyo,Tokyo,0.516,516,,,,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf,,,
azure,Azure,100,brazilsouth,Brazil South,http://www.wikidata.org/entity/Q155,Brazil,Sao Paulo,Sao Paulo,0.205,205,2016-01-01T00:00:00,2016-12-31T23:59:59,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf,,,
azure,Azure,100,australiaeast,Australia East,http://www.wikidata.org/entity/Q408,Australia,New South Wales,Sydney,0.802,802,2016-01-01T00:00:00,2017-12-31T23:59:59,https://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,https://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,,,
azure,Azure,100,australiasoutheast,Australia Southeast,http://www.wikidata.org/entity/Q408,Australia,Victoria,Melbourne,0.805,805,2016-01-01T00:00:00,2017-12-31T23:59:59,https://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,https://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17,,,
azure,Azure,100,southindia,South India,http://www.wikidata.org/entity/Q668,India,Tamil Nadu,Pallavaram,0.92,920,,,,https://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,,,
azure,Azure,100,centralindia,Central India,http://www.wikidata.org/entity/Q668,India,Maharashtra,Lohogaon,0.92,920,,,,https://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,,,
azure,Azure,100,westindia,West India,http://www.wikidata.org/entity/Q668,India,Maharashtra,Mumbai,0.92,920,,,,https://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf,,,
azure,Azure,100,canadacentral,Canada Central,http://www.wikidata.org/entity/Q16,Canada,Ontario,Toronto,0.0693,69.3,,,,Calculated from IESO,,,
azure,Azure,100,canadaeast,Canada East,http://www.wikidata.org/entity/Q16,Canada,Quebec,Quebec,0.02,20,2017-01-01T00:00:00,2017-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1364032120307206,Hydro-Québec,,,
azure,Azure,100,uksouth,UK South,http://www.wikidata.org/entity/Q145,United Kingdom,England,Midhurst,0.623,623,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
azure,Azure,100,ukwest,UK West,http://www.wikidata.org/entity/Q145,United Kingdom,England,Wallasey,0.623,623,2013-01-01T00:00:00,2013-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1361920916307933,https://www.sciencedirect.com/science/article/pii/S1361920916307933,,,
azure,Azure,100,westcentralus,West Central US,http://www.wikidata.org/entity/Q30,USA,Wyoming,Mountain View,0.2976,297.6,,,,,,,"it is not clear which grid power this zone, could be or 297.6, not sure"
azure,Azure,100,westus2,West US 2,http://www.wikidata.org/entity/Q30,USA,Washington,Quincy,0.2976,297.6,,,,eGRID,,,
azure,Azure,100,koreacentral,Korea Central,http://www.wikidata.org/entity/Q884,South Korea,Seoul,Seoul,0.517,517,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,koreasouth,Korea South,http://www.wikidata.org/entity/Q884,South Korea,Busan,Busan,0.517,517,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,francecentral,France Central,http://www.wikidata.org/entity/Q142,France,Auvergne,Huriel,0.105,105,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,francesouth,France South,http://www.wikidata.org/entity/Q142,France,Midi-Pyrenees,Realmont,0.105,105,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,australiacentral,Australia Central,http://www.wikidata.org/entity/Q408,Australia,Australian Capital Territory,Forrest,0.9,900,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,australiacentral2,Australia Central 2,http://www.wikidata.org/entity/Q408,Australia,Australian Capital Territory,Forrest,0.9,900,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,southafricanorth,South Africa North,http://www.wikidata.org/entity/Q258,South Africa,Gauteng,Pretoria,1.009,1009,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
azure,Azure,100,southafricawest,South Africa West,http://www.wikidata.org/entity/Q258,South Africa,Western Cape,Stellenbosch,1.009,1009,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
ovh,OVHCloud,0,gra,Gravelines,http://www.wikidata.org/entity/Q142,France,Hauts-de-France,Gravelines,0.105,105,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
ovh,OVHCloud,0,bhs,Beauharnois,http://www.wikidata.org/entity/Q16,Canada,Quebec,Beauharnois,0.02,20,2017-01-01T00:00:00,2017-12-31T23:59:59,https://www.sciencedirect.com/science/article/pii/S1364032120307206,Hydro-Québec,,,
scaleway,Scaleway,100,Paris,Paris,http://www.wikidata.org/entity/Q142,France,Ile-de-France,Paris,0.105,105,2018-01-01T00:00:00,2018-12-31T23:59:59,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf,,,
coreweave,CoreWeave,0,LGA1,US East,http://www.wikidata.org/entity/Q30,USA,New Jersey,Weehawken,0.28275,282.75,2021-10-01T00:00:00,2022-10-31T23:59:59,,electricitymap,average for oct21-oct22,,
coreweave,CoreWeave,0,ORD1,US Central,http://www.wikidata.org/entity/Q30,USA,Illinois,Chicago,0.4245,424.5,2021-10-01T00:00:00,2022-10-31T23:59:59,,electricitymap,average for oct21-oct22,,
coreweave,CoreWeave,0,LAS1,US West,http://www.wikidata.org/entity/Q30,USA,Las Vegas,Nevada,0.47458,474.58,2021-10-01T00:00:00,2022-10-31T23:59:59,,electricitymap,average for oct21-oct22,,
